Syntax version=4
Thu Jul 03 13:52:06 2025
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		cur_loadcell	filtered_cur_loadcell	record_flag	weight_variable
D:	time(ms)	(0x20000088,4)	(0x2000008c,6)	(0x20000078,5)	(0x20000084,5)
D:	72.75	498	498.000000	0	0
D:	73.27	498	498.000000	0	0
D:	73.86	498	498.000000	0	0
D:	74.48	498	498.000000	0	0
D:	75.10	498	498.000000	0	0
D:	75.65	498	498.000000	0	0
D:	76.25	498	498.000000	0	0
D:	76.92	498	498.000000	0	0
D:	77.47	498	498.000000	0	0
D:	78.00	498	498.000000	0	0
D:	78.54	498	498.000000	0	0
D:	79.09	498	498.000000	0	0
D:	79.62	498	498.000000	0	0
D:	80.14	498	498.000000	0	0
D:	80.76	498	498.000000	0	0
D:	81.38	498	498.000000	0	0
D:	82.00	498	498.000000	0	0
D:	82.59	498	498.000000	0	0
D:	83.16	498	498.000000	0	0
D:	83.70	498	498.000000	0	0
D:	84.29	498	498.000000	0	0
D:	84.88	498	498.000000	0	0
D:	85.46	498	498.000000	0	0
D:	85.99	498	498.000000	0	0
D:	86.56	498	498.000000	0	0
D:	87.10	498	498.000000	0	0
D:	87.65	498	498.000000	0	0
D:	88.23	498	498.000000	0	0
D:	88.77	498	498.000000	0	0
D:	89.29	498	498.000000	0	0
D:	89.88	498	498.000000	0	0
D:	90.50	498	498.000000	0	0
D:	91.10	498	498.000000	0	0
D:	91.67	498	498.000000	0	0
D:	92.27	498	498.000000	0	0
D:	92.84	498	498.000000	0	0
D:	93.39	498	498.000000	0	0
D:	93.96	498	498.000000	0	0
D:	94.52	498	498.000000	0	0
D:	95.10	498	498.000000	0	0
D:	95.64	498	498.000000	0	0
D:	96.22	498	498.000000	0	0
D:	96.75	498	498.000000	0	0
D:	97.27	498	498.000000	0	0
D:	97.80	498	498.000000	0	0
D:	98.34	498	498.000000	0	0
D:	98.87	498	498.000000	0	0
D:	99.40	498	498.000000	0	0
D:	99.94	498	498.000000	0	0
D:	100.48	498	498.000000	0	0
D:	101.02	498	498.000000	0	0
D:	101.54	498	498.000000	0	0
D:	102.09	498	498.000000	0	0
D:	102.64	498	498.000000	0	0
D:	103.23	498	498.000000	0	0
D:	103.76	498	498.000000	0	0
D:	104.28	498	498.000000	0	0
D:	104.80	498	498.000000	0	0
D:	105.33	498	498.000000	0	0
D:	105.86	498	498.000000	0	0
D:	106.39	498	498.000000	0	0
D:	106.93	498	498.000000	0	0
D:	107.46	498	498.000000	0	0
D:	107.99	498	498.000000	0	0
D:	108.54	498	498.000000	0	0
D:	109.09	498	498.000000	0	0
D:	109.61	498	498.000000	0	0
D:	110.15	498	498.000000	0	0
D:	110.67	498	498.000000	0	0
D:	111.22	498	498.000000	0	0
D:	111.75	498	498.000000	0	0
D:	112.27	498	498.000000	0	0
D:	112.79	498	498.000000	0	0
D:	113.31	498	498.000000	0	0
D:	113.84	498	498.000000	0	0
D:	114.37	498	498.000000	0	0
D:	114.89	498	498.000000	0	0
D:	115.42	498	498.000000	0	0
D:	115.94	498	498.000000	0	0
D:	116.47	498	498.000000	0	0
D:	116.99	498	498.000000	0	0
D:	117.54	498	498.000000	0	0
D:	118.09	498	498.000000	0	0
D:	118.61	498	498.000000	0	0
D:	119.14	498	498.000000	0	0
D:	119.67	498	498.000000	0	0
D:	120.22	498	498.000000	0	0
D:	120.74	498	498.000000	0	0
D:	121.26	498	498.000000	0	0
D:	121.78	498	498.000000	0	0
D:	122.31	498	498.000000	0	0
D:	122.84	498	498.000000	0	0
D:	123.34	498	498.000000	0	0
D:	123.91	498	498.000000	0	0
D:	124.49	498	498.000000	0	0
D:	125.10	498	498.000000	0	0
D:	125.65	498	498.000000	0	0
D:	126.28	498	498.000000	0	0
D:	126.89	498	498.000000	0	0
D:	127.45	498	498.000000	0	0
D:	128.01	498	498.000000	0	0
D:	128.58	498	498.000000	0	0
D:	129.16	498	498.000000	0	0
D:	129.70	498	498.000000	0	0
D:	130.23	498	498.000000	0	0
D:	130.76	498	498.000000	0	0
D:	131.29	498	498.000000	0	0
D:	131.81	498	498.000000	0	0
D:	132.34	498	498.000000	0	0
D:	132.86	498	498.000000	0	0
D:	133.38	498	498.000000	0	0
D:	133.91	498	498.000000	0	0
D:	134.43	498	498.000000	0	0
